epoch,train_loss,val_loss,train_acc,val_acc
1,1.8451138343683184,1.759628479105757,0.1766643944558055,0.17711316152296108
2,1.7733757780111623,1.7415846250307296,0.18893433310611224,0.26206384558277657
3,1.7635174604795976,1.7376682027575445,0.20116640157539953,0.1834765086435465
4,1.7454308079452503,1.7010198518142352,0.21411800348405666,0.17934033301516597
5,1.7362311928053566,1.6889481628316623,0.21707187760357494,0.1990667090889808
6,1.7300903478788714,1.7391398865846122,0.2261607210482466,0.19662742602608974
7,1.7189273156424882,1.6654835401707584,0.22953116715897903,0.23958001909004137
8,1.7056818392695166,1.6531249114192421,0.23301522381276982,0.26863930427404814
9,1.7018248255773087,1.5830902733672827,0.24532303264409605,0.3170007423904974
10,1.6858259131129578,1.5946243745118287,0.2491857911080815,0.32007636016544705
11,1.6730191713931353,1.5198360403265019,0.258426115276831,0.36080178173719374
12,1.6609293819241278,1.52848468386668,0.2663409831098993,0.4002545338848234
13,1.6560990537629565,1.533404465684558,0.2656214496705294,0.3841340545126737
14,1.6514849426944465,1.5372060006212767,0.26713625691130805,0.41223883762859265
15,1.634557630287502,1.4883133563146773,0.2711126259183519,0.43960123024710995
16,1.6266457845900517,1.4874179785647843,0.27505112474437626,0.43885883974970835
17,1.6278401881937168,1.4742816209236806,0.2741422403999091,0.4137236186233959
18,1.6244716128824084,1.481022483142667,0.2781564795879724,0.41107222398981863
19,1.6231095715651844,1.449624945381841,0.27963341664773156,0.42857142857142855
20,1.620443105643458,1.5021534693280312,0.2786487919412255,0.4206172446706968
21,1.6138725581245332,1.4948412282353862,0.28296599257744454,0.4170113479690317
22,1.6118166166246457,1.4288263137854604,0.27736120578656365,0.43217732527309366
23,1.6122946846189892,1.4558153427573906,0.2841020980080285,0.45688832325803375
24,1.603719129441751,1.3999202289868544,0.2860334772400212,0.432601548414466
25,1.6072091094510155,1.4172930789911706,0.283003862758464,0.46325167037861914
26,1.6048377190703091,1.477404587290828,0.2826630311292888,0.4284653727860855
27,1.5979708189369466,1.406133093097099,0.29057789896235703,0.4486159720012727
28,1.5961870494272044,1.403445699495859,0.29144891312580473,0.4461766889383816
29,1.5878399623882262,1.4075352956588985,0.2953495417708097,0.4696150174992046
30,1.590912833743264,1.4128484456280481,0.29133530258274637,0.4433131827341181
31,1.5841754131549002,1.3981776849653855,0.29353177308187534,0.45975182946229715
32,1.5844286385697053,1.411095540917227,0.2929258501855639,0.44882808357195886
33,1.5829751189979542,1.4053392732670609,0.29285010982352494,0.44766146993318484
34,1.5861665450974973,1.4108687563632298,0.29493296977959554,0.4493583624986743
35,1.583421656139726,1.3974856070084491,0.2935696432628948,0.46303955880793296
36,1.5779948458656763,1.3883197034501438,0.29504658032265396,0.4716300774207233
37,1.5836183852177177,1.396257540291877,0.2905021586003181,0.4582670484674939
38,1.5788550146653744,1.39849804635897,0.29296372036658336,0.45550959804857355
39,1.5737581524191269,1.408461736373525,0.29962887222600926,0.44564641001166616
40,1.5756262336040567,1.3928905936614469,0.29875785806256155,0.4604942199596988
