epoch,train_loss,val_loss,train_acc,val_acc
1,1.6136323349413726,1.7018790438744382,0.2675044407327872,0.2358680666030332
2,1.5309306404086767,1.65256226925016,0.3226490628065431,0.2493371513416057
3,1.5031417402704965,1.6305322541906342,0.33823802327739333,0.256761056315622
4,1.4905524176730056,1.6250752382938904,0.34703995333916593,0.25856400466645457
5,1.4823183952685919,1.5951770115586452,0.3490283411543254,0.26789691377664654
6,1.4728132316974476,1.6126514742642195,0.3581484132665235,0.2747905398239474
7,1.4697799232030788,1.603549674657461,0.35745910549060156,0.27319970304380103
8,1.4642524038412565,1.5943060511305749,0.36000424189400565,0.28051755223247427
9,1.4665256550078232,1.6201458399439177,0.36000424189400565,0.2636546823629229
10,1.456967306600408,1.6074337235107972,0.36594289350194864,0.27457842825326123
11,1.455445454426505,1.5992255603057202,0.36710941435350886,0.27701771131615227
12,1.4586648356007785,1.5973580035415886,0.3659694053394841,0.27436631668257505
13,1.4566683798270676,1.5991546519046145,0.36382194649911187,0.2748965956092905
14,1.4570682620650754,1.6025218972093747,0.36244333094726794,0.2706543641955669
15,1.4532252939051,1.58997831783058,0.3643256714122856,0.27627532081875067
16,1.4542658353029485,1.5879990702305533,0.3643256714122856,0.27786615759889705
17,1.453325639448912,1.5900016767574856,0.36636708290251596,0.2806236080178174
18,1.4537677282006305,1.5948703001028206,0.3648559081629948,0.2726694241170856
19,1.4546355758613037,1.593727839133408,0.36448474243749834,0.27860854809629865
20,1.4431790336450965,1.587623088518374,0.37445319335083116,0.2800933290911019
21,1.4475198883485552,1.5850277922669047,0.37039688220790584,0.2824265563686499
22,1.4436777132642575,1.5921362544916533,0.3677456984543599,0.2771237671014954
23,1.4543880873701884,1.583117261912995,0.36750709191654074,0.28189627744193446
24,1.4547192036130558,1.5899232146039295,0.3649884673506721,0.27415420511188887
25,1.4455712573102704,1.5858179815425664,0.3726503883984199,0.27192703361968396
26,1.4473109523894605,1.5877047626726168,0.36907129033113284,0.27532081875066283
27,1.4516188550208438,1.5932056357289361,0.36671173679047697,0.27404814932654575
28,1.4545033903692601,1.5896395401757928,0.3656247514515231,0.27627532081875067
29,1.4470780028426864,1.588328476674813,0.36769267477928896,0.2744723724679181
30,1.4479991675668438,1.5895256199909047,0.369309896868952,0.27595715346272137
